model_tag,step_k,cond,gen_n_used,gen_n_listed,gen_sample_seed,same_domain,FID_same,KID_same_mean,KID_same_std,cross_domain,FID_cross,KID_cross_mean,KID_cross_std,kid_subset_size,kid_n_subsets
fine (diff_raw),40,flower,1000,1000,1001,flower,65.76981708,0.047534773,0.001170147,leaf,200.6308984,0.207340961,0.001273826,1000,50
fine (diff_raw),40,leaf,1000,1000,1001,leaf,49.29121707,0.030758914,0.000565022,flower,194.5576977,0.180733188,0.001691044,1000,50
fine (diff_raw),45,flower,1000,1000,1001,flower,86.86708046,0.068472999,0.001218891,leaf,192.8995245,0.184755403,0.001248525,1000,50
fine (diff_raw),45,leaf,1000,1000,1001,leaf,34.49027628,0.017003907,0.000380297,flower,190.8545661,0.176177804,0.002179689,1000,50
fine (diff_raw),50,flower,1000,1000,1001,flower,57.63743333,0.037654531,0.000947773,leaf,199.8859283,0.206972983,0.001251361,1000,50
fine (diff_raw),50,leaf,1000,1000,1001,leaf,46.24365386,0.031181261,0.000944509,flower,195.3133641,0.1906423,0.002018658,1000,50
lowpass_only,40,flower,1000,1000,1001,flower,82.1122563618195,0.0575107065308536,0.0009942202900907,leaf,177.11004441860166,0.164822539722731,0.0011861892404045,1000,50
lowpass_only,40,leaf,1000,1000,1001,leaf,52.07135339486845,0.035523799598704,0.0010393996091779,flower,193.68823769999813,0.1827010268974534,0.0016703825238654,1000,50
lowpass_only,45,flower,1000,1000,1001,flower,82.24147383693656,0.0615465820053566,0.0011586908005378,leaf,198.76430850168487,0.1966452311100783,0.0013036675109844,1000,50
lowpass_only,45,leaf,1000,1000,1001,leaf,56.06589574629777,0.041497545748824,0.0009837142878349,flower,205.3555199743401,0.2038140304799698,0.0023640542989333,1000,50
lowpass_only,50,flower,1000,1000,1001,flower,59.42186112971584,0.0354678261565695,0.0008696445919382,leaf,178.33510000494806,0.1750699960968099,0.0011316871554355,1000,50
lowpass_only,50,leaf,1000,1000,1001,leaf,90.1081978780779,0.0786100714310983,0.0016087885688931,flower,226.9728013678076,0.229384528682648,0.0021511862696387,1000,50
blend (diff_raw0.7+lowpass0.3),40,flower,1000,1000,1001,flower,84.05761849997066,0.0629440975600032,0.001143100334696,leaf,183.12241419283785,0.1754456194417086,0.0011947472005562,1000,50
blend (diff_raw0.7+lowpass0.3),40,leaf,1000,1000,1001,leaf,56.09532255682001,0.0361420730887511,0.0007719285334256,flower,195.46053812195103,0.1809711364847994,0.0016942760255495,1000,50
blend (diff_raw0.7+lowpass0.3),45,flower,1000,1000,1001,flower,122.32687201800138,0.1067206103408314,0.0014965041170356,leaf,207.1562217161907,0.2007518992760656,0.001249635343452,1000,50
blend (diff_raw0.7+lowpass0.3),45,leaf,1000,1000,1001,leaf,52.961222022296965,0.0388731445689885,0.0008035644042053,flower,206.2457195804746,0.2021212268559674,0.0022902765160314,1000,50
blend (diff_raw0.7+lowpass0.3),50,flower,1000,1000,1001,flower,65.89640441487853,0.0442865528514148,0.0011438974133206,leaf,195.7238958042227,0.2034004079796719,0.0012843049604844,1000,50
blend (diff_raw0.7+lowpass0.3),50,leaf,1000,1000,1001,leaf,47.774748834313726,0.0318793223712015,0.0008707749043394,flower,192.37687876142687,0.1819130985773406,0.0019654814245179,1000,50
blend (diff0.3+lowpass0.7),40,flower,1000,1000,1001,flower,90.06624763116213,0.0646090123918537,0.0010947474525626,leaf,174.5581003111916,0.1563516310785298,0.0011622433090423,1000,50
blend (diff0.3+lowpass0.7),40,leaf,1000,1000,1001,leaf,49.48086988611576,0.0321330864963347,0.0010534630741571,flower,188.729233719416,0.1761528168671989,0.0016451212684272,1000,50
blend (diff0.3+lowpass0.7),45,flower,1000,1000,1001,flower,99.5669208360408,0.0803584351014225,0.0013585241403549,leaf,196.88945518661563,0.1874210058216703,0.00119734966706,1000,50
blend (diff0.3+lowpass0.7),45,leaf,1000,1000,1001,leaf,57.43249874409776,0.0444840337404563,0.0009945320949872,flower,210.0721796664606,0.2097013325852896,0.0023447754995675,1000,50
blend (diff0.3+lowpass0.7),50,flower,1000,1000,1001,flower,76.44936773002934,0.0515586212393464,0.0010051205105895,leaf,182.3825598059769,0.1751840942441118,0.0011793534484613,1000,50
blend (diff0.3+lowpass0.7),50,leaf,1000,1000,1001,leaf,90.55313779693672,0.0793857104006812,0.0016069449546352,flower,221.7032791314112,0.2258553573035072,0.0021065101477465,1000,50
constant,40,flower,1000,1000,1001,flower,106.29196655110565,0.083369365457648,0.0011034807285869,leaf,174.09380221692334,0.1579343987280934,0.0012359921357495,1000,50
constant,40,leaf,1000,1000,1001,leaf,47.392079722471806,0.0290474733831598,0.0007371001773374,flower,195.6933695368012,0.1820334353810053,0.0018008212499875,1000,50
constant,45,flower,1000,1000,1001,flower,104.22425693878267,0.0867955339349952,0.0013010753257869,leaf,164.6219505616342,0.149336324798885,0.0013109020126994,1000,50
constant,45,leaf,1000,1000,1001,leaf,104.8910680746534,0.0998731690166858,0.001828607537845,flower,242.30039376658135,0.2628042085927942,0.0024965442360745,1000,50
constant,50,flower,1000,1000,1001,flower,86.03730815959256,0.0607866737491793,0.001071674744505,leaf,181.9343168553468,0.1699779031835606,0.001095894266749,1000,50
constant,50,leaf,1000,1000,1001,leaf,125.1257874713118,0.1192986363395594,0.0021261137539896,flower,251.48084814756533,0.2678553189432269,0.0023395687932617,1000,50
random,40,flower,1000,1000,1001,flower,104.7424691558278,0.0811887727099042,0.0011302889863641,leaf,187.8437901444624,0.1718690883154694,0.0012065651703528,1000,50
random,40,leaf,1000,1000,1001,leaf,57.615693570539406,0.0357050659000814,0.0007873937527345,flower,200.76213737186123,0.1848782997144054,0.0018671043003821,1000,50
random,45,flower,1000,1000,1001,flower,101.5512054101863,0.0832772687295252,0.0013921897166967,leaf,203.9175855558119,0.1972031709155593,0.0013292686049939,1000,50
