model_tag,step_k,cond,gen_n_used,gen_n_listed,gen_sample_seed,same_domain,FID_same,KID_same_mean,KID_same_std,cross_domain,FID_cross,KID_cross_mean,KID_cross_std,kid_subset_size,kid_n_subsets
Standard baselines,,,,,,,,,,,,,,,
origin_shift,35,flower,5000,5000,1001,flower,143.6522698,0.137882365,0.002570211,leaf,182.5986843,0.181203108,0.001507186,1000,50
origin_shift,35,leaf,5000,5000,1001,leaf,104.2747808,0.099052408,0.002418026,flower,226.9450636,0.239664833,0.002963102,1000,50
Onehot,40,flower,5000,5000,1001,flower,83.67805144,0.075511277,0.002265882,leaf,178.1041548,0.17802062,0.001787526,1000,50
Onehot,40,leaf,5000,5000,1001,leaf,65.2398868,0.057897924,0.002542812,flower,201.4341615,0.203810854,0.002641392,1000,50
Base_CPDM,50,flower,5000,5000,1001,flower,77.03209046,0.066757274,0.001844619,leaf,193.2761565,0.198711227,0.001919307,1000,50
Base_CPDM,50,leaf,5000,5000,1001,leaf,34.24364796,0.029063013,0.001695754,flower,186.1914382,0.189190964,0.002184997,1000,50
Stronger baselines,,,,,,,,,,,,,,,
cond.quad_shift_ddpm_larger,35,flower,5000,5000,1001,flower,150.6894466,0.143218012,0.002624685,leaf,194.8947274,0.191782479,0.001707281,1000,50
cond.quad_shift_ddpm_larger,35,leaf,5000,5000,1001,leaf,111.9632015,0.110787555,0.002382146,flower,234.2253474,0.251876751,0.002670639,1000,50
Base_joint256,40,flower,5000,5000,1001,flower,86.01176359,0.07320517,0.001932701,leaf,162.8305613,0.150789087,0.001560019,1000,50
Base_joint256,40,leaf,5000,5000,1001,leaf,77.69413943,0.071764867,0.00284729,flower,211.1039719,0.221612528,0.002773289,1000,50
CLIP512D_img,50,flower,5000,5000,1001,flower,39.52086538,0.025201827,0.001086404,leaf,173.1465768,0.159159341,0.001808817,1000,50
CLIP512D_img,50,leaf,5000,5000,1001,leaf,20.4935393,0.012119738,0.000756707,flower,175.0641793,0.159656522,0.002217196,1000,50
LLava1.5+CLIp512D_text,40,flower,5000,5000,1001,flower,86.30157071,0.075860268,0.002417926,leaf,178.6571949,0.169389539,0.001748726,1000,50
LLava1.5+CLIp512D_text,40,leaf,5000,5000,1001,leaf,65.75434803,0.060416865,0.002071655,flower,198.2427049,0.203925862,0.002541099,1000,50
