model_tag,step_k,cond,gen_n_used,gen_n_listed,gen_sample_seed,same_domain,FID_same,KID_same_mean,KID_same_std,cross_domain,FID_cross,KID_cross_mean,KID_cross_std,kid_subset_size,kid_n_subsets
Continuous_CPDM_lambda=0.1,50,flower,5000,5000,1001,flower,54.15720987,0.040473252,0.001532109,leaf,174.0183841,0.167590504,0.001682822,1000,50
Continuous_CPDM_lambda=0.1,50,leaf,5000,5000,1001,leaf,36.43824872,0.026135691,0.000892167,flower,179.7723053,0.170625091,0.001713965,1000,50
Continuous_CPDM_lambda=0.2,50,flower,5000,5000,1001,flower,64.00645179,0.051459667,0.001791264,leaf,162.1964144,0.15216493,0.002009518,1000,50
Continuous_CPDM_lambda=0.2,50,leaf,5000,5000,1001,leaf,31.31609005,0.021865006,0.000878392,flower,176.9800573,0.170236178,0.002015467,1000,50
Continuous_CPDM_lambda=0.3,50,flower,5000,5000,1001,flower,88.31438712,0.076053731,0.002020083,leaf,184.5588974,0.180830479,0.002189825,1000,50
Continuous_CPDM_lambda=0.3,50,leaf,5000,5000,1001,leaf,35.84775854,0.026703345,0.000926522,flower,178.7293958,0.173176861,0.001791093,1000,50
